technology_nm,array_dim,chiplet_size,workload,batch_size,flops,execution_time_s,energy_j,power_w,cycle_count,throughput
7,128x128,16x16,llama_3_70b,64,37865608.77101056,74800.40669184003,21.567070590928168,1.06370176e-05,7480040669184.002,506.22196383246825
7,128x256,16x16,llama_3_70b,64,18932804.38550528,49198.97980928004,11.203765311003394,2.12740352e-05,4919897980928.003,384.82107675602913
7,128x512,16x16,llama_3_70b,64,9466402.19275264,36567.45017344004,6.131725804233594,4.25480704e-05,3656745017344.003,258.8750965094184
7,256x256,16x16,llama_3_70b,64,37865608.77101056,49198.97980928004,21.042616471548353,4.099840512e-05,4919897980928.003,769.6421535120583
7,256x512,16x16,llama_3_70b,64,18932804.38550528,36567.45017344004,11.051151384506072,8.199681024e-05,3656745017344.003,517.7501930188369
7,512x512,16x16,llama_3_70b,64,37865608.77101056,36567.45017344004,20.890002545051033,0.00016089428991999998,3656745017344.003,1035.5003860376737
7,512x512,16x16,llama_3_70b,128,75731217.54202113,71236.02333695993,41.35127160587741,0.00016089428991999998,7123602333695.991,1063.1028234661285
7,256x512,16x16,llama_3_70b,128,37865608.77101056,71236.02333695992,21.67356928478749,8.199681024e-05,7123602333695.991,531.5514117330644
7,256x256,16x16,llama_3_70b,128,75731217.54202113,82318.96481791993,41.870866199331566,4.099840512e-05,8231896481791.991,919.9729091531929
7,128x512,16x16,llama_3_70b,128,18932804.38550528,71236.02333695992,11.834718124242535,4.25480704e-05,7123602333695.991,265.7757058665322
7,128x256,16x16,llama_3_70b,128,37865608.77101056,82318.96481791993,22.193163878241652,2.12740352e-05,8231896481791.991,459.98645457659643
7,128x128,16x16,llama_3_70b,128,75731217.54202113,111409.33959679992,43.23160538954489,1.06370176e-05,11140933959679.992,679.7564532390102
7,64x512,16x16,llama_3_70b,128,9466402.19275264,71236.02333695993,6.915292543970056,2.282370048e-05,7123602333695.991,132.88785293326606
7,64x256,16x16,llama_3_70b,128,18932804.38550528,82318.96481791993,12.354312717696695,1.141185024e-05,8231896481791.991,229.99322728829821
7,64x128,16x16,llama_3_70b,128,37865608.77101056,111409.33959679991,23.553903068454975,5.70592512e-06,11140933959679.992,339.8782266195051
7,32x32,16x16,llama_3_70b,128,75731217.54202113,822025.7288192001,51.725418562097865,8.1009472e-07,82202572881920.0,92.12755134903786
7,64x64,16x16,llama_3_70b,128,75731217.54202113,258690.1970944,45.96044652429699,2.85296256e-06,25869019709440.0,292.7486947423278
7,64x64,32x32,llama_3_70b,128,75731217.54202113,258690.19709439998,52.28662369904925,3.22793088e-06,25869019709440.0,292.74869474232787
7,32x32,32x32,llama_3_70b,128,75731217.54202113,822025.7288192001,63.53770306728609,9.9757888e-07,82202572881920.0,92.12755134903786
7,64x64,64x64,llama_3_70b,128,75731217.54202113,258690.19709439998,64.93897804855376,3.97786752e-06,25869019709440.0,292.74869474232787
7,64x128,64x64,llama_3_70b,128,37865608.77101056,111409.33959679992,34.76420824950281,7.95573504e-06,11140933959679.992,339.8782266195051
7,64x128,32x32,llama_3_70b,128,37865608.77101056,111409.33959679992,27.29067146213759,6.45586176e-06,11140933959679.992,339.8782266195051
