model,array_dim,batch_size,pe_count,useful_macs,cycle_count,utilization
llama_3_1_70b,256x256,512,65536,1.528e+17,6.639e+12,0.3512
llama_3_1_70b,32x32,32,1024,9.550e+15,1.010e+13,0.9229
llama_3_1_70b,32x32,64,1024,1.910e+16,2.243e+13,0.8314
llama_3_1_70b,32x32,128,1024,3.820e+16,4.487e+13,0.8314
llama_3_1_70b,32x32,256,1024,7.640e+16,8.417e+13,0.8864
llama_3_1_70b,32x32,512,1024,1.528e+17,1.628e+14,0.9166
llama_3_1_70b,512x512,32,262144,9.550e+15,5.789e+11,0.0629
llama_3_1_70b,512x512,64,262144,1.910e+16,8.798e+11,0.0828
llama_3_1_70b,512x512,128,262144,3.820e+16,1.482e+12,0.0983
llama_3_1_70b,512x512,256,262144,7.640e+16,2.684e+12,0.1086
llama_3_1_70b,512x512,512,262144,1.528e+17,5.088e+12,0.1145
llama_3_1_70b,64x64,32,4096,9.550e+15,4.178e+12,0.5580
llama_3_1_70b,64x64,64,4096,1.910e+16,6.132e+12,0.7604
llama_3_1_70b,64x64,128,4096,3.820e+16,1.157e+13,0.8061
llama_3_1_70b,64x64,256,4096,7.640e+16,2.244e+13,0.8311
llama_3_1_70b,64x64,512,4096,1.528e+17,4.489e+13,0.8311
llama_3_1_8b,128x128,32,16384,1.072e+15,2.651e+11,0.2468
llama_3_1_8b,128x128,64,16384,2.143e+15,4.007e+11,0.3265
llama_3_1_8b,128x128,128,16384,4.286e+15,6.719e+11,0.3894
llama_3_1_8b,128x128,256,16384,8.573e+15,1.344e+12,0.3894
llama_3_1_8b,128x128,512,16384,1.715e+16,2.687e+12,0.3894
llama_3_1_8b,256x256,32,65536,1.072e+15,1.769e+11,0.0925
llama_3_1_8b,256x256,64,65536,2.143e+15,2.925e+11,0.1118
llama_3_1_8b,256x256,128,65536,4.286e+15,5.250e+11,0.1246
llama_3_1_8b,256x256,256,65536,8.573e+15,9.899e+11,0.1322
llama_3_1_8b,256x256,512,65536,1.715e+16,1.979e+12,0.1322
llama_3_1_8b,32x32,32,1024,1.072e+15,1.410e+12,0.7425
llama_3_1_8b,32x32,64,1024,2.143e+15,3.059e+12,0.6842
llama_3_1_8b,32x32,128,1024,4.286e+15,6.118e+12,0.6842
llama_3_1_8b,32x32,256,1024,8.573e+15,1.164e+13,0.7195
llama_3_1_8b,32x32,512,1024,1.715e+16,2.267e+13,0.7385
llama_3_1_8b,512x512,32,262144,1.072e+15,1.446e+11,0.0283
llama_3_1_8b,512x512,64,262144,2.143e+15,2.591e+11,0.0316
llama_3_1_8b,512x512,128,262144,4.286e+15,4.882e+11,0.0335
llama_3_1_8b,512x512,256,262144,8.573e+15,9.462e+11,0.0346
llama_3_1_8b,512x512,512,262144,1.715e+16,1.862e+12,0.0351
llama_3_1_8b,64x64,32,4096,1.072e+15,6.072e+11,0.4309
llama_3_1_8b,64x64,64,4096,2.143e+15,9.743e+11,0.5371
llama_3_1_8b,64x64,128,4096,4.286e+15,1.874e+12,0.5586
llama_3_1_8b,64x64,256,4096,8.573e+15,3.672e+12,0.5700
llama_3_1_8b,64x64,512,4096,1.715e+16,7.344e+12,0.5700
