model,array_dim,batch_size,pe_count,useful_macs,compute_cycle_count,with_load_cycle_count,utilization,utilization_with_load
llama_3_1_70b,64x64,64,4096,1.3037799115965071e+18,319039759815156.94,1551448108994471.5,0.9976989785349442,0.2051667990919252
llama_3_1_70b,64x64,128,4096,2.6075598231930143e+18,637384502485993.9,3102201200844623.0,0.9987868899796809,0.2052127646607527
llama_3_1_70b,64x64,256,4096,5.215119646386029e+18,1274073987827667.8,6203707384544926.0,0.9993317358981204,0.2052357551696261
llama_3_1_70b,64x64,512,4096,1.0430239292772057e+19,2548147975655335.5,1.2407414769089852e+16,0.9993317358981204,0.2052357551696261
llama_3_1_8b,128x128,32,16384,1.0355254626982298e+17,6336802710011.87,148595022774139.84,0.9974029697465776,0.0425340346107739
llama_3_1_8b,128x128,64,16384,2.0710509253964595e+17,12664224596983.74,289615969025783.7,0.9981417801401481,0.0436463905144769
llama_3_1_8b,128x128,128,16384,4.142101850792919e+17,25319068370927.48,571657861529071.4,0.9985115959355458,0.0442246754011802
llama_3_1_8b,128x128,256,16384,8.284203701585838e+17,50638136741854.96,1143315723058142.8,0.9985115959355458,0.0442246754011802
llama_3_1_8b,128x128,512,16384,1.6568407403171676e+18,101276273483709.92,2286631446116285.5,0.9985115959355458,0.0442246754011802
llama_3_1_8b,256x256,32,65536,1.0355254626982298e+17,2689519034756.4697,145068019671326.06,0.5874977793414552,0.01089203853472274
llama_3_1_8b,256x256,64,65536,2.0710509253964595e+17,5377865466632.939,286352518890044.1,0.5876258787876618,0.011035952933403278
llama_3_1_8b,256x256,128,65536,4.142101850792919e+17,10755730933265.879,568922689930360.2,0.5876258787876618,0.01110932285445963
llama_3_1_8b,256x256,256,65536,8.284203701585838e+17,21511461866531.758,1134063032010992.5,0.5876258787876618,0.011146374872049858
llama_3_1_8b,256x256,512,65536,1.6568407403171676e+18,43021751130183.516,2268124891419105.0,0.5876418951463578,0.011146380634638737
llama_3_1_8b,32x32,32,1024,1.0355254626982298e+17,101160635305601.19,593870997713929.5,0.9996530089113107,0.17028198692291865
llama_3_1_8b,32x32,64,1024,2.0710509253964595e+17,202561419681026.38,1187982144497683.0,0.9984678585474613,0.17024756463723303
llama_3_1_8b,32x32,128,1024,4.142101850792919e+17,405122839362052.75,2375964288995366.0,0.9984678585474613,0.17024756463723303
llama_3_1_8b,32x32,256,1024,8.284203701585838e+17,809645306049545.5,4751328205316172.0,0.9992082479676424,0.17026907693470056
llama_3_1_8b,32x32,512,1024,1.6568407403171676e+18,1618690239424531.0,9502056037957784.0,0.9995788545937058,0.17027983512226605
llama_3_1_8b,512x512,32,262144,1.0355254626982298e+17,1228910581031.4563,143733229220794.4,0.32144048655879276,0.0027482970865226396
llama_3_1_8b,512x512,64,262144,2.0710509253964595e+17,2457821162062.9126,285575020275572.8,0.32144048655879276,0.002766499778046511
llama_3_1_8b,512x512,128,262144,4.142101850792919e+17,4915642324125.825,569258602385129.6,0.32144048655879276,0.002775691845139652
llama_3_1_8b,512x512,256,262144,8.284203701585838e+17,9831138052411.65,1136625620008403.2,0.3214452796801878,0.0027803111818020046
llama_3_1_8b,512x512,512,262144,1.6568407403171676e+18,19662129508983.3,2271359655254950.5,0.32144767629448984,0.0027826266205976825
llama_3_1_8b,64x64,32,4096,1.0355254626982298e+17,25329212362392.492,296981411457415.9,0.9981117061576101,0.0851278308719369
llama_3_1_8b,64x64,64,4096,2.0710509253964595e+17,50658424724784.984,578833431515919.8,0.9981117061576101,0.08735287905000934
llama_3_1_8b,64x64,128,4096,4.142101850792919e+17,101241802865249.97,1157591816447519.5,0.9988515672841117,0.0873585421301297
llama_3_1_8b,64x64,256,4096,8.284203701585838e+17,202408559146179.94,2315108586310719.0,0.9992219093224304,0.08736137394555159
llama_3_1_8b,64x64,512,4096,1.6568407403171676e+18,404817118292359.9,4630217172621438.0,0.9992219093224304,0.08736137394555159
