model,array_dim,batch_size,pe_count,useful_macs,cycle_count,utilization
llama_3_1_70b,64x64,32,4096,9549576314814464.0,4178010859203.5537,0.5580262015949948
llama_3_1_70b,64x64,64,4096,1.909915262962893e+16,6131966856583.107,0.7604214388344359
llama_3_1_70b,64x64,128,4096,3.819830525925786e+16,11568916568846.215,0.8061047086335822
llama_3_1_70b,64x64,256,4096,7.639661051851571e+16,22442815993372.43,0.8310684472652614
llama_3_1_70b,64x64,512,4096,1.5279322103703142e+17,44885631986744.86,0.8310684472652614
llama_3_1_8b,128x128,32,16384,1071620110155776.0,265054343246.3623,0.2467663802935916
llama_3_1_8b,128x128,64,16384,2143240220311552.0,400653328540.72455,0.3264992261625588
llama_3_1_8b,128x128,128,16384,4286480440623104.0,671851299129.4491,0.38941057908945287
llama_3_1_8b,128x128,256,16384,8572960881246208.0,1343702598258.8982,0.38941057908945287
llama_3_1_8b,128x128,512,16384,1.7145921762492416e+16,2687405196517.7964,0.38941057908945287
llama_3_1_8b,256x256,32,65536,1071620110155776.0,176852883687.21307,0.09245891203515764
llama_3_1_8b,256x256,64,65536,2143240220311552.0,292495897038.42615,0.11180755273194026
llama_3_1_8b,256x256,128,65536,4286480440623104.0,524954526620.8523,0.12459460305071292
llama_3_1_8b,256x256,256,65536,8572960881246208.0,989871785785.7046,0.13215146002385347
llama_3_1_8b,256x256,512,65536,1.7145921762492416e+16,1978570968691.4092,0.13222977977334555
llama_3_1_8b,32x32,32,1024,1071620110155776.0,1409502484564.7563,0.7424634048425622
llama_3_1_8b,32x32,64,1024,2143240220311552.0,3059154038953.5127,0.6841786980965445
llama_3_1_8b,32x32,128,1024,4286480440623104.0,6118308077907.025,0.6841786980965445
llama_3_1_8b,32x32,256,1024,8572960881246208.0,11636243481254.05,0.7194789387210155
llama_3_1_8b,32x32,512,1024,1.7145921762492416e+16,22672114287948.1,0.7385312198291406
llama_3_1_8b,512x512,32,262144,1071620110155776.0,144558369174.753,0.02827858620249259
llama_3_1_8b,512x512,64,262144,2143240220311552.0,259093910317.50595,0.03155540243296715
llama_3_1_8b,512x512,128,262144,4286480440623104.0,488164992603.0119,0.033496103702170946
llama_3_1_8b,512x512,256,262144,8572960881246208.0,946160561334.0238,0.03456416571188571
llama_3_1_8b,512x512,512,262144,1.7145921762492416e+16,1862151698796.0476,0.03512415283152699
llama_3_1_8b,64x64,32,4096,1071620110155776.0,607220987367.8214,0.4308579724658318
llama_3_1_8b,64x64,64,4096,2143240220311552.0,974292904911.6428,0.537058213473753
llama_3_1_8b,64x64,128,4096,4286480440623104.0,1873539225503.2856,0.5585706451077262
llama_3_1_8b,64x64,256,4096,8572960881246208.0,3672031866686.5713,0.5699863464247681
llama_3_1_8b,64x64,512,4096,1.7145921762492416e+16,7344063733373.143,0.5699863464247681
