model,array_dim,array_m,array_n,pe_count,batch_size,frequency,max_seq_len,cycle_count,llama_cycle_count,runtime_ms,runtime_ms_per_sequence,throughput_tokens_per_s,total_data_moved,window_cycle_count,average_bandwidth,peak_bandwidth,peak_phase
llama_3_1_405b,64x256,64,256,16384,32,1000,131072,621679580022139.4,964568427771361.8,964568427.7713617,30142763.367855053,4.280430378111723,2.482278739350651e+17,621679580022139.4,399.2858731602945,906.9419348183932,prefill
llama_3_1_405b,64x256,64,256,16384,64,1000,131072,1039617877347062.8,1522165072755651.5,1522165072.7556517,23783829.261807058,5.424862354153856,4.186990120051671e+17,1039617877347062.8,402.74318201762696,975.025033371109,prefill
llama_3_1_405b,64x256,64,256,16384,128,1000,131072,2079235754694125.5,2690608768157575.0,2690608768.1575747,21020381.001231052,6.138042882878467,8.204972942352712e+17,2079235754694125.5,394.61484460475424,975.3648758210062,prefill
llama_3_1_405b,64x256,64,256,16384,256,1000,131072,4158471509388251.0,5551698813263630.0,5551698813.263629,21686323.48931105,5.949556182890775,1.7613553076115866e+18,4158471509388251.0,423.5583443664612,975.5347970459547,prefill
llama_3_1_405b,64x256,64,256,16384,512,1000,131072,8316690676340662.0,1.1543363656896028e+16,11543363656.896027,22545632.142375052,5.722793629613797,3.734579769841287e+18,8316690676340662.0,449.0463713488139,984.7656336297334,prefill
llama_3_1_405b,64x512,64,512,32768,32,1000,131072,449720542370455.5,964556536919521.8,964556536.9195218,30142391.778735057,4.280483146364789,2.482278739350651e+17,449720542370455.5,551.9602743220664,1903.9050319165735,prefill
llama_3_1_405b,64x512,64,512,32768,64,1000,131072,797695557645615.0,1522141291051971.5,1522141291.0519717,23783457.672687057,5.424947111376966,4.186990120051671e+17,797695557645615.0,524.8857261295904,1905.6940261497862,prefill
llama_3_1_405b,64x512,64,512,32768,128,1000,131072,1595391115291230.0,2690561204750215.0,2690561204.7502146,21020009.41211105,6.13815139043946,8.204972942352712e+17,1595391115291230.0,514.2922549656382,1906.358250866522,prefill
llama_3_1_405b,64x512,64,512,32768,256,1000,131072,3190719144318140.0,5458845529415438.0,5458845529.415439,21323615.349279057,6.050756304059961,1.7613553076115866e+18,3190719144318140.0,552.0245524423899,1924.0976290352653,prefill
llama_3_1_405b,64x512,64,512,32768,512,1000,131072,6381375202371960.0,1.1534650040667676e+16,11534650040.667679,22528613.36067906,5.727116797396666,3.734579769841287e+18,6381375202371960.0,585.2311847222433,1933.147699885488,prefill
llama_3_1_405b,128x32,128,32,4096,32,1000,131072,3855055328147554.0,3855055328147554.0,3855055328.1475544,120470479.00461107,1.0710009710765866,2.4730351787573248e+17,3855055328147554.0,64.15044579776958,101.05816963786033,prefill
llama_3_1_405b,128x32,128,32,4096,64,1000,131072,6080180394717380.0,6080180394717380.0,6080180394.717381,95002818.66745907,1.3581070731346003,4.03582874674004e+17,6080180394717380.0,66.37679287026538,115.20952453420875,prefill
llama_3_1_405b,128x32,128,32,4096,128,1000,131072,1.0530430527857032e+16,1.0530430527857032e+16,10530430527.857029,82268988.49888304,1.568318783957721,7.46450665672278e+17,1.0530430527857032e+16,70.88510424123966,123.8770198083744,prefill
llama_3_1_405b,128x32,128,32,4096,256,1000,131072,2.1060861055714064e+16,2.1060861055714064e+16,21060861055.714058,82268988.49888304,1.568318783957721,1.500819601428054e+18,2.1060861055714064e+16,71.26107510314084,123.90589111587357,prefill
llama_3_1_405b,128x32,128,32,4096,512,1000,131072,4.212172211142813e+16,4.212172211142813e+16,42121722111.428116,82268988.49888304,1.568318783957721,3.0553125068682035e+18,4.212172211142813e+16,72.53531797170422,123.92032676962316,prefill
llama_3_1_405b,128x64,128,64,8192,32,1000,131072,1927812263495099.2,1927812263495099.2,1927812263.4950995,60244133.23422186,2.141685722298807,2.4730351787573248e+17,1927812263495099.0,128.2819507680558,202.11633927572066,prefill
llama_3_1_405b,128x64,128,64,8192,64,1000,131072,3040659396201334.0,3040659396201334.0,3040659396.2013345,47510303.06564585,2.715705682233287,4.03582874674004e+17,3040659396201334.0,132.72873481922906,230.4190490684175,prefill
llama_3_1_405b,128x64,128,64,8192,128,1000,131072,5266353661613804.0,5266353661613804.0,5266353661.613804,41143387.98135784,3.1359595388318784,7.46450665672278e+17,5266353661613804.0,141.73956282372765,247.7540396167488,prefill
llama_3_1_405b,128x64,128,64,8192,256,1000,131072,1.0532707323227608e+16,1.0532707323227608e+16,10532707323.227608,41143387.98135784,3.1359595388318784,1.500819601428054e+18,1.0532707323227608e+16,142.49134200456902,247.81178223174715,prefill
llama_3_1_405b,128x64,128,64,8192,512,1000,131072,2.1065414646455216e+16,2.1065414646455216e+16,21065414646.455215,41143387.98135784,3.1359595388318784,3.0553125068682035e+18,2.1065414646455216e+16,145.03927685004464,247.84065353924632,prefill
llama_3_1_405b,128x128,128,128,16384,32,1000,131072,964189607770615.8,964189607770615.8,964189607.7706158,30130925.242831744,4.282112114386374,2.4730351787573248e+17,964189607770615.6,256.4884706106135,404.2326785514413,prefill
llama_3_1_405b,128x128,128,128,16384,64,1000,131072,1520896650146799.2,1520896650146799.2,1520896650.1467996,23764010.158543743,5.429386670818801,4.03582874674004e+17,1520896650146799.2,265.35851376558,460.838098136835,prefill
llama_3_1_405b,128x128,128,128,16384,128,1000,131072,2634310734899166.5,2634310734899166.5,2634310734.899166,20580552.616399735,6.26921941334007,7.46450665672278e+17,2634310734899166.5,283.3571058202631,495.5080792334976,prefill
llama_3_1_405b,128x128,128,128,16384,256,1000,131072,5268621469798333.0,5268621469798333.0,5268621469.798332,20580552.616399735,6.26921941334007,1.500819601428054e+18,5268621469798333.0,284.8600169952048,495.6235644634943,prefill
llama_3_1_405b,128x128,128,128,16384,512,1000,131072,1.0537242939596666e+16,1.0537242939596666e+16,10537242939.596664,20580552.616399735,6.26921941334007,3.0553125068682035e+18,1.0537242939596666e+16,289.9536932366819,495.68130707849264,prefill
llama_3_1_405b,128x256,128,256,32768,32,1000,131072,621048148581525.4,963208261176571.9,963208261.176572,30100258.161767874,4.286474863656852,2.4730351787573248e+17,621048148581525.4,398.2034540165267,910.6176181450649,prefill
llama_3_1_405b,128x256,128,256,32768,64,1000,131072,1038481185683754.9,1519441681656311.8,1519441681.6563115,23741276.275879867,5.434585676890628,4.03582874674004e+17,1038481185683754.8,388.6280081311995,978.4987732511038,prefill
llama_3_1_405b,128x256,128,256,32768,128,1000,131072,1873473431106133.8,2631908522615791.5,2631908522.615791,20561785.332935866,6.274941495149712,7.46450665672278e+17,1873473431106133.5,398.43141262567025,978.7193501654514,prefill
llama_3_1_405b,128x256,128,256,32768,256,1000,131072,3746946862212267.5,4995664464631775.0,4995664464.631776,19514314.314967874,6.61176190551753,1.500819601428054e+18,3746946862212267.0,400.54467186704176,978.9474546787641,prefill
llama_3_1_405b,128x256,128,256,32768,512,1000,131072,7493767553206615.0,1.0211477086126014e+16,10211477086.126017,19944291.183839876,6.469219628348758,3.0553125068682035e+18,7493767553206614.0,407.71380819796343,988.2098132247713,prefill
llama_3_1_405b,128x512,128,512,65536,32,1000,131072,449568194163121.56,963202315750651.9,963202315.750652,30100072.367207874,4.286501322188298,2.4730351787573248e+17,449568194163121.56,550.0912232816914,1911.621239220168,prefill
llama_3_1_405b,128x512,128,512,65536,64,1000,131072,797390861230947.1,1519429790804471.8,1519429790.8044715,23741090.481319867,5.434628207222392,4.03582874674004e+17,797390861230947.1,506.129295300658,1912.4834778162901,prefill
llama_3_1_405b,128x512,128,512,65536,128,1000,131072,1493036195366598.2,2631884740912111.5,2631884740.912111,20561599.538375866,6.2749981955047565,7.46450665672278e+17,1493036195366598.2,499.9548356488407,1912.9145971143507,prefill
llama_3_1_405b,128x512,128,512,65536,256,1000,131072,2986040847601036.5,4995616901224415.0,4995616901.224416,19514128.520407874,6.611824856286393,1.500819601428054e+18,2986040847601036.5,502.6118790818959,1930.8285898168604,prefill
llama_3_1_405b,128x512,128,512,65536,512,1000,131072,5972050152069913.0,1.0207120278011838e+16,10207120278.011837,19935781.79299187,6.471980950621987,3.0553125068682035e+18,5972050152069913.0,511.6019505980257,1939.908808960344,prefill
llama_3_1_405b,256x32,256,32,8192,32,1000,131072,4961319352927666.0,4961319352927666.0,4961319352.927666,155041229.77898955,0.8321915414623775,2.4684572340912128e+17,4961319352927666.0,49.754048439445455,115.9439390618307,prefill
