model,array_dim,array_m,array_n,pe_count,batch_size,frequency,max_seq_len,cycle_count,llama_cycle_count,runtime_ms,runtime_ms_per_sequence,throughput_tokens_per_s,total_data_moved,window_cycle_count,average_bandwidth,peak_bandwidth,peak_phase
llama_3_1_405b,64x128,64,128,8192,512,2000,131072,1.219e+16,2.308e+16,1.154e+10,2.254e+07,5.725e+00,3.735e+18,1.219e+16,612.9,987.9,prefill
llama_3_1_405b,64x256,64,256,16384,32,2000,131072,6.217e+14,1.929e+15,9.643e+08,3.013e+07,4.282e+00,2.482e+17,6.217e+14,798.6,1813.9,prefill
llama_3_1_405b,64x256,64,256,16384,64,2000,131072,1.040e+15,3.043e+15,1.522e+09,2.377e+07,5.427e+00,4.187e+17,1.040e+15,805.5,1950.1,prefill
llama_3_1_405b,64x256,64,256,16384,128,2000,131072,2.079e+15,5.379e+15,2.689e+09,2.101e+07,6.141e+00,8.205e+17,2.079e+15,789.2,1950.7,prefill
llama_3_1_405b,64x256,64,256,16384,256,2000,131072,4.158e+15,1.091e+16,5.456e+09,2.131e+07,6.053e+00,1.761e+18,4.158e+15,847.1,1951.1,prefill
llama_3_1_405b,64x256,64,256,16384,512,2000,131072,8.317e+15,2.306e+16,1.153e+10,2.252e+07,5.730e+00,3.735e+18,8.317e+15,898.1,1969.5,prefill
llama_3_1_405b,64x512,64,512,32768,32,2000,131072,4.497e+14,1.929e+15,9.643e+08,3.013e+07,4.282e+00,2.482e+17,4.497e+14,1103.9,3807.8,prefill
llama_3_1_405b,64x512,64,512,32768,64,2000,131072,7.977e+14,3.043e+15,1.522e+09,2.377e+07,5.427e+00,4.187e+17,7.977e+14,1049.8,3811.4,prefill
llama_3_1_405b,64x512,64,512,32768,128,2000,131072,1.595e+15,5.379e+15,2.689e+09,2.101e+07,6.141e+00,8.205e+17,1.595e+15,1028.6,3812.7,prefill
llama_3_1_405b,64x512,64,512,32768,256,2000,131072,3.191e+15,1.091e+16,5.456e+09,2.131e+07,6.053e+00,1.761e+18,3.191e+15,1104.0,3848.2,prefill
llama_3_1_405b,64x512,64,512,32768,512,2000,131072,6.381e+15,2.305e+16,1.153e+10,2.251e+07,5.732e+00,3.735e+18,6.381e+15,1170.5,3866.3,prefill
llama_3_1_405b,128x32,128,32,4096,32,2000,131072,3.855e+15,3.855e+15,1.928e+09,6.024e+07,2.142e+00,2.473e+17,3.855e+15,128.3,202.1,prefill
llama_3_1_405b,128x32,128,32,4096,64,2000,131072,6.080e+15,6.080e+15,3.040e+09,4.750e+07,2.716e+00,4.036e+17,6.080e+15,132.8,230.4,prefill
llama_3_1_405b,128x32,128,32,4096,128,2000,131072,1.053e+16,1.053e+16,5.265e+09,4.113e+07,3.137e+00,7.465e+17,1.053e+16,141.8,247.8,prefill
llama_3_1_405b,128x32,128,32,4096,256,2000,131072,2.106e+16,2.106e+16,1.053e+10,4.113e+07,3.137e+00,1.501e+18,2.106e+16,142.5,247.8,prefill
llama_3_1_405b,128x32,128,32,4096,512,2000,131072,4.212e+16,4.212e+16,2.106e+10,4.113e+07,3.137e+00,3.055e+18,4.212e+16,145.1,247.8,prefill
llama_3_1_405b,128x64,128,64,8192,32,2000,131072,1.928e+15,1.928e+15,9.639e+08,3.012e+07,4.283e+00,2.473e+17,1.928e+15,256.6,404.2,prefill
