gemm_class,model,array_dim,batch_size,max_seq_len,frequency,asram_size,wsram_size,osram_size,isram_active_elements,wsram_active_elements,active_fraction,input_data_moved,weight_data_moved,output_read_data_moved,output_write_data_moved,output_data_moved,total_data_moved,array_cycle_count,sram_cycle_count,window_cycle_count,sram_stall_cycle_count,dram_cycle_count,dram_stall_cycle_count,input_dram_bandwidth,weight_dram_bandwidth,output_dram_bandwidth,total_required_bandwidth
attention,deepseek_v4,256x512,256,1048576,1000,58720256,58720256,58720256,1835008,1835008,0.5,2142513297096704.0,8.790992944686432e+18,2808237522944.0,2145321534619648.0,2148129772142592.0,8.795283587755672e+18,8594683733549774.0,8588140939837440.0,8594683733549774.0,0.0,3.4339830713810944e+16,2.5745182128004404e+16,0.2492835528936681,1022.8407719495664,0.24993703535096481,1023.339992537811
attention,deepseek_v4,256x512,256,1048576,1000,60817408,60817408,60817408,1900544,1900544,0.5,2142513297096704.0,8.790992944686432e+18,2793909780480.0,2145307206877184.0,2148101116657664.0,8.795283559100187e+18,8594683885462222.0,8588140939837440.0,8594683885462222.0,0.0,3.43398306578432e+16,2.5745182128004404e+16,0.2492835484875404,1022.8407538706879,0.24993369683917574,1023.3399711160146
attention,deepseek_v4,256x512,256,1048576,1000,62914560,62914560,62914560,1966080,1966080,0.5,2142513297096704.0,8.790992944686432e+18,2779582038016.0,2145292879134720.0,2148072461172736.0,8.795283530444702e+18,8594684165300942.0,8588140939837440.0,8594684165300942.0,0.0,3.4339830601875456e+16,2.5745182128004404e+16,0.2492835403709898,1022.8407205674924,0.24993035460745425,1023.339934462471
attention,deepseek_v4,256x512,256,1048576,1000,65011712,65011712,65011712,2031616,2031616,0.5,2142513297096704.0,8.790992944686432e+18,2765254295552.0,2145278551392256.0,2148043805687808.0,8.795283501789217e+18,8594684349194958.0,8588140939837440.0,8594684349194958.0,0.0,3.433983054590771e+16,2.5745182128004404e+16,0.24928353503725678,1022.8406986825364,0.24992701516595076,1023.3399092327396
attention,deepseek_v4,256x512,256,1048576,1000,67108864,67108864,67108864,2097152,2097152,0.5,2142513297096704.0,8.790992944686432e+18,2750926553088.0,2145264223649792.0,2148015150202880.0,8.795283473133732e+18,8594683157881550.0,8588140939837440.0,8594683157881550.0,0.0,3.433983048993997e+16,2.5745182128004404e+16,0.24928356959057452,1022.8408404590064,0.24992371571406835,1023.340047744311
attention,deepseek_v4,256x512,256,1048576,1000,69206016,69206016,69206016,2162688,2162688,0.5,2142513297096704.0,8.790992944686432e+18,2736598810624.0,2145249895907328.0,2147986494717952.0,8.795283444478247e+18,8594684429148878.0,8588140939837440.0,8594684429148878.0,0.0,3.4339830433972224e+16,2.5745182128004404e+16,0.2492835327182425,1022.8406891673385,0.2499203446531503,1023.3398930447098
attention,deepseek_v4,256x512,256,1048576,1000,71303168,71303168,71303168,2228224,2228224,0.5,2142513297096704.0,8.790992944686432e+18,2722271068160.0,2145235568164864.0,2147957839233024.0,8.795283415822762e+18,8594684325208782.0,8588140939837440.0,8594684325208782.0,0.0,3.433983037800448e+16,2.5745182128004404e+16,0.2492835357329611,1022.8407015370959,0.24991701358162985,1023.3399020864106
attention,deepseek_v4,256x512,256,1048576,1000,73400320,73400320,73400320,2293760,2293760,0.5,2142513297096704.0,8.790992944686432e+18,2707943325696.0,2145221240422400.0,2147929183748096.0,8.795283387167277e+18,8594684125323982.0,8588140939837440.0,8594684125323982.0,0.0,3.4339830322036736e+16,2.5745182128004404e+16,0.24928354153049695,1022.8407253250915,0.24991368529988045,1023.3399225519219
attention,deepseek_v4,256x512,256,1048576,1000,75497472,75497472,75497472,2359296,2359296,0.5,2142513297096704.0,8.790992944686432e+18,2693615583232.0,2145206912679936.0,2147900528263168.0,8.795283358511792e+18,8594683829494478.0,8588140939837440.0,8594683829494478.0,0.0,3.433983026606899e+16,2.5745182128004404e+16,0.2492835501108506,1022.8407605313273,0.249910359807791,1023.3399544412458
attention,deepseek_v4,256x512,256,1048576,1000,77594624,77594624,77594624,2424832,2424832,0.5,2142513297096704.0,8.790992944686432e+18,2679287840768.0,2145192584937472.0,2147871872778240.0,8.795283329856307e+18,8594683733549774.0,8588140939837440.0,8594683733549774.0,0.0,3.433983021010125e+16,2.5745182128004404e+16,0.2492835528936681,1022.8407719495664,0.24990702850343588,1023.3399625309635
