carbon,layer,arch,subarch,arch_dim,model
1.2834144463354358e-05,projection,systolic,taylor,16x16,llama_2_13b
1.8436636664881698e-05,attention,systolic,taylor,16x16,llama_2_13b
2.5989054135698628e-05,ffn,systolic,taylor,16x16,llama_2_13b
1.3957868088416783e-06,nonlinear,systolic,taylor,16x16,llama_2_13b
9.587244706752244e-06,onchip_em,systolic,taylor,16x16,llama_2_13b
6.188183286170312e-05,projection,systolic,taylor,16x16,llama_2_70b
5.835291119511236e-05,attention,systolic,taylor,16x16,llama_2_70b
0.00016243960325586725,ffn,systolic,taylor,16x16,llama_2_70b
4.64793243153903e-06,nonlinear,systolic,taylor,16x16,llama_2_70b
4.8857020175695e-05,onchip_em,systolic,taylor,16x16,llama_2_70b
3.4808530984708e-05,projection,systolic,taylor,16x16,llama_2_70b_GQA
7.689555327113215e-06,attention,systolic,taylor,16x16,llama_2_70b_GQA
0.00016243960325586725,ffn,systolic,taylor,16x16,llama_2_70b_GQA
4.64793243153903e-06,nonlinear,systolic,taylor,16x16,llama_2_70b_GQA
3.51703059454728e-05,onchip_em,systolic,taylor,16x16,llama_2_70b_GQA
6.951780945877818e-06,projection,systolic,pwl,16x16,llama_2_7b
1.2240085904099475e-05,attention,systolic,pwl,16x16,llama_2_7b
1.4012113266975076e-05,ffn,systolic,pwl,16x16,llama_2_7b
4.5790171148557906e-07,nonlinear,systolic,pwl,16x16,llama_2_7b
5.486778815242908e-06,onchip_em,systolic,pwl,16x16,llama_2_7b
1.3203727167306011e-05,projection,systolic,pwl,16x16,llama_2_13b
1.902445826887423e-05,attention,systolic,pwl,16x16,llama_2_13b
2.6737459111200722e-05,ffn,systolic,pwl,16x16,llama_2_13b
7.158968942557583e-07,nonlinear,systolic,pwl,16x16,llama_2_13b
9.872830901653953e-06,onchip_em,systolic,pwl,16x16,llama_2_13b
6.37740963059356e-05,projection,systolic,pwl,16x16,llama_2_70b
6.023394032788846e-05,attention,systolic,pwl,16x16,llama_2_70b
0.00016740679479697752,ffn,systolic,pwl,16x16,llama_2_70b
2.378006329812418e-06,nonlinear,systolic,pwl,16x16,llama_2_70b
5.044789985303519e-05,onchip_em,systolic,pwl,16x16,llama_2_70b
3.587292917208876e-05,projection,systolic,pwl,16x16,llama_2_70b_GQA
7.924734105898748e-06,attention,systolic,pwl,16x16,llama_2_70b_GQA
0.00016740679479697752,ffn,systolic,pwl,16x16,llama_2_70b_GQA
2.378006329812418e-06,nonlinear,systolic,pwl,16x16,llama_2_70b_GQA
3.624339495748944e-05,onchip_em,systolic,pwl,16x16,llama_2_70b_GQA
6.604430408037382e-06,projection,simd,mac,16x16,llama_2_7b
1.1623192169875873e-05,attention,simd,mac,16x16,llama_2_7b
1.3311984839140447e-05,ffn,simd,mac,16x16,llama_2_7b
2.913102520894117e-06,nonlinear,simd,mac,16x16,llama_2_7b
5.5580517398674834e-06,onchip_em,simd,mac,16x16,llama_2_7b
1.2541830419119732e-05,projection,simd,mac,16x16,llama_2_13b
1.8063814582126198e-05,attention,simd,mac,16x16,llama_2_13b
2.5397118196123513e-05,ffn,simd,mac,16x16,llama_2_13b
4.5547604456154876e-06,nonlinear,simd,mac,16x16,llama_2_13b
9.913145009280067e-06,onchip_em,simd,mac,16x16,llama_2_13b
6.055437301060309e-05,projection,simd,mac,16x16,llama_2_70b
5.718069827734337e-05,attention,simd,mac,16x16,llama_2_70b
0.0001589550211467297,ffn,simd,mac,16x16,llama_2_70b
1.519736600190408e-05,nonlinear,simd,mac,16x16,llama_2_70b
4.962132843881095e-05,onchip_em,simd,mac,16x16,llama_2_70b
3.406183481846423e-05,projection,simd,mac,16x16,llama_2_70b_GQA
7.524782494291984e-06,attention,simd,mac,16x16,llama_2_70b_GQA
