carbon,layer,arch,subarch,arch_dim,model,normalized_carbon
6.726925640779623e-06,projection,systolic,mac,16x16,llama_2_7b,0.24102343827857234
1.1793045212341545e-05,attention,systolic,mac,16x16,llama_2_7b,0.4225407647770271
1.3558889292636529e-05,ffn,systolic,mac,16x16,llama_2_7b,0.4858103524645215
2.921841415135635e-06,nonlinear,systolic,mac,16x16,llama_2_7b,0.10468857567141214
5.638464247431376e-06,onchip_em,systolic,mac,16x16,llama_2_7b,0.20202423991254498
1.2764556649536102e-05,projection,systolic,mac,16x16,llama_2_13b,0.2626745385100097
1.8325957188002465e-05,attention,systolic,mac,16x16,llama_2_13b,0.377119431507062
2.5848138812716656e-05,ffn,systolic,mac,16x16,llama_2_13b,0.5319141212961573
4.568424219411483e-06,nonlinear,systolic,mac,16x16,llama_2_13b,0.09401099908906543
1.0056565921022013e-05,onchip_em,systolic,mac,16x16,llama_2_13b,0.20694834022268616
6.152554325495367e-05,projection,systolic,mac,16x16,llama_2_70b,0.270113337161047
5.799873686909881e-05,attention,systolic,mac,16x16,llama_2_70b,0.2546297283701982
0.00016150434303814992,ffn,systolic,mac,16x16,llama_2_70b,0.7090465968461774
1.5242984794185343e-05,nonlinear,systolic,mac,16x16,llama_2_70b,0.06692071736759504
5.033923745354629e-05,onchip_em,systolic,mac,16x16,llama_2_70b,0.22100250886651018
3.460811808091143e-05,projection,systolic,mac,16x16,llama_2_70b_GQA,0.22706344477343615
7.64527409615422e-06,attention,systolic,mac,16x16,llama_2_70b_GQA,0.05016055101439881
0.00016150434303814992,ffn,systolic,mac,16x16,llama_2_70b_GQA,1.0596280442171695
1.5242984794185343e-05,nonlinear,systolic,mac,16x16,llama_2_70b_GQA,0.10000903914812578
3.672132074162234e-05,onchip_em,systolic,mac,16x16,llama_2_70b_GQA,0.24092814190962822
7.318032748397821e-06,projection,systolic,figna,16x16,llama_2_7b,0.26220260318644073
1.292698262322937e-05,attention,systolic,figna,16x16,llama_2_7b,0.4631693532525809
1.4750339556429462e-05,ffn,systolic,figna,16x16,llama_2_7b,0.5284996067319438
3.1536853148406017e-06,nonlinear,systolic,figna,16x16,llama_2_7b,0.11299546307210702
6.145655832577446e-06,onchip_em,systolic,figna,16x16,llama_2_7b,0.2201967404344472
1.3909852056200456e-05,projection,systolic,figna,16x16,llama_2_13b,0.28624292013602776
2.0095977960925603e-05,attention,systolic,figna,16x16,llama_2_13b,0.41354368049949475
2.816736201121198e-05,ffn,systolic,figna,16x16,llama_2_13b,0.579640094088844
4.930925757249045e-06,nonlinear,systolic,figna,16x16,llama_2_13b,0.10147071169601377
1.0961174939857716e-05,onchip_em,systolic,figna,16x16,llama_2_13b,0.22556377380794088
6.729513854895422e-05,projection,systolic,figna,16x16,llama_2_70b,0.29544337987961633
6.365156218054088e-05,attention,systolic,figna,16x16,llama_2_70b,0.27944712011487194
0.00017664953068490137,ffn,systolic,figna,16x16,llama_2_70b,0.775537958982422
1.6453256758808713e-05,nonlinear,systolic,figna,16x16,llama_2_70b,0.0722341300079711
5.486735655100081e-05,onchip_em,systolic,figna,16x16,llama_2_70b,0.24088214414917195
3.785351543378674e-05,projection,systolic,figna,16x16,llama_2_70b_GQA,0.24835645761162664
8.362218670022321e-06,attention,systolic,figna,16x16,llama_2_70b_GQA,0.05486441570514906
0.00017664953068490137,ffn,systolic,figna,16x16,llama_2_70b_GQA,1.1589954374620586
1.6453256758808713e-05,nonlinear,systolic,figna,16x16,llama_2_70b_GQA,0.10794961889180364
4.002447991020006e-05,onchip_em,systolic,figna,16x16,llama_2_70b_GQA,0.26260012932306415
6.762554601454571e-06,projection,systolic,taylor,16x16,llama_2_7b,0.24230001171831866
1.1863880077544256e-05,attention,systolic,taylor,16x16,llama_2_7b,0.42507875369988046
1.3630703916496972e-05,ffn,systolic,taylor,16x16,llama_2_7b,0.4883834458040103
8.927366368985316e-07,nonlinear,systolic,taylor,16x16,llama_2_7b,0.03198644747879153
5.33429389878278e-06,onchip_em,systolic,taylor,16x16,llama_2_7b,0.19112592065519401
1.2834144463354358e-05,projection,systolic,taylor,16x16,llama_2_13b,0.2641065464819666
1.8436636664881698e-05,attention,systolic,taylor,16x16,llama_2_13b,0.3793970414006135
2.5989054135698628e-05,ffn,systolic,taylor,16x16,llama_2_13b,0.5348139374393701
1.3957868088416783e-06,nonlinear,systolic,taylor,16x16,llama_2_13b,0.028723101470521626
9.587244706752244e-06,onchip_em,systolic,taylor,16x16,llama_2_13b,0.19729044635641158
6.188183286170312e-05,projection,systolic,taylor,16x16,llama_2_70b,0.2716775423607653
5.835291119511236e-05,attention,systolic,taylor,16x16,llama_2_70b,0.25618464693044324
0.00016243960325586725,ffn,systolic,taylor,16x16,llama_2_70b,0.7131526354954381
4.64793243153903e-06,nonlinear,systolic,taylor,16x16,llama_2_70b,0.02040564737119951
4.8857020175695e-05,onchip_em,systolic,taylor,16x16,llama_2_70b,0.214495184686387
3.4808530984708e-05,projection,systolic,taylor,16x16,llama_2_70b_GQA,0.22837835141489832
7.689555327113215e-06,attention,systolic,taylor,16x16,llama_2_70b_GQA,0.05045107963594508
0.00016243960325586725,ffn,systolic,taylor,16x16,llama_2_70b_GQA,1.0657642752106595
4.64793243153903e-06,nonlinear,systolic,taylor,16x16,llama_2_70b_GQA,0.030495028551163317
3.51703059454728e-05,onchip_em,systolic,taylor,16x16,llama_2_70b_GQA,0.2307519525633912
6.951780945877818e-06,projection,systolic,pwl,16x16,llama_2_7b,0.2490799267316933
1.2240085904099475e-05,attention,systolic,pwl,16x16,llama_2_7b,0.4385580794214388
1.4012113266975076e-05,ffn,systolic,pwl,16x16,llama_2_7b,0.5020492120028434
4.5790171148557906e-07,nonlinear,systolic,pwl,16x16,llama_2_7b,0.016406461255770066
5.486778815242908e-06,onchip_em,systolic,pwl,16x16,llama_2_7b,0.1965894029074791
1.3203727167306011e-05,projection,systolic,pwl,16x16,llama_2_13b,0.2717119783717855
1.902445826887423e-05,attention,systolic,pwl,16x16,llama_2_13b,0.39149348726977445
2.6737459111200722e-05,ffn,systolic,pwl,16x16,llama_2_13b,0.5502149370162533
7.158968942557583e-07,nonlinear,systolic,pwl,16x16,llama_2_13b,0.014732034294838959
9.872830901653953e-06,onchip_em,systolic,pwl,16x16,llama_2_13b,0.203167361944652
6.37740963059356e-05,projection,systolic,pwl,16x16,llama_2_70b,0.2799850771937607
6.023394032788846e-05,attention,systolic,pwl,16x16,llama_2_70b,0.2644428601776769
0.00016740679479697752,ffn,systolic,pwl,16x16,llama_2_70b,0.7349599144320509
2.378006329812418e-06,nonlinear,systolic,pwl,16x16,llama_2_70b,0.010440074017290517
5.044789985303519e-05,onchip_em,systolic,pwl,16x16,llama_2_70b,0.2214795654156616
3.587292917208876e-05,projection,systolic,pwl,16x16,llama_2_70b_GQA,0.2353618550677763
7.924734105898748e-06,attention,systolic,pwl,16x16,llama_2_70b_GQA,0.051994084763349185
0.00016740679479697752,ffn,systolic,pwl,16x16,llama_2_70b_GQA,1.0983539589240905
2.378006329812418e-06,nonlinear,systolic,pwl,16x16,llama_2_70b_GQA,0.015602070811185333
3.624339495748944e-05,onchip_em,systolic,pwl,16x16,llama_2_70b_GQA,0.23779247661174782
6.604430408037382e-06,projection,simd,mac,16x16,llama_2_7b,0.2366344761070138
