flops,execution_time,cycle_count,throughput,energy_efficiency,power_efficiency,layer,arch,subarch,arch_dim,model,flops_baseline,execution_time_baseline,cycle_count_baseline
14133.1267584,138.01881600000002,55207526400.0,0.9923076923076922,0.6900043758144703,1.0915428876459308,ffn,carat,,128x8,llama_2_13b,9003.32519424,87.24676608,34898706432.0
17867.06395136,174.48304640000003,69793218560.0,0.9923076923076922,0.2708010862181902,1.0916012777787514,projection,carat,,128x8,llama_2_70b,4466.76598784,43.285217280000005,17314086912.0
2200.088608768,174.41456128000002,69765824512.0,0.9868037146491191,0.5193026004422427,1.052494214874116,attention,carat,,128x8,llama_2_70b,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,458.01799680000005,183207198720.0,0.9923076923076922,0.2079344680636626,1.0915903569522003,ffn,carat,,128x8,llama_2_70b,9003.32519424,87.24676608,34898706432.0
10050.22347264,98.1467136,39258685440.0,0.9923076923076926,0.4814241532767828,1.0916012777787518,projection,carat,,128x8,llama_2_70b_GQA,4466.76598784,43.285217280000005,17314086912.0
2200.088608768,21.81558272,8726233088.0,7.8894494439615155,10.34693868112287,2.6229811736843787,attention,carat,,128x8,llama_2_70b_GQA,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,458.01799680000005,183207198720.0,0.9923076923076922,0.2079344680636626,1.0915903569522003,ffn,carat,,128x8,llama_2_70b_GQA,9003.32519424,87.24676608,34898706432.0
4466.76598784,21.810380800000004,8724152320.0,1.9846153846153844,1.9984926434569599,1.0069924172457554,projection,carat,,256x8,llama_2_7b,4466.76598784,43.285217280000005,17314086912.0
1100.044304384,65.73244416000006,26292977664.000023,1.3091931934027774,1.162490645223731,0.8879443088168326,attention,carat,,256x8,llama_2_7b,1100.044304384,86.05646848000022,34422587392.00008
9003.32519424,43.9615488,17584619520.0,1.9846153846153844,1.9984930713343891,1.0069926328429093,ffn,carat,,256x8,llama_2_7b,9003.32519424,87.24676608,34898706432.0
6979.321856,34.078720000000004,13631488000.0,1.9846153846153844,1.2790729755146655,1.0070220858582035,projection,carat,,256x8,llama_2_13b,4466.76598784,43.285217280000005,17314086912.0
